Unnamed: 0,price,artist,title,yearCreation,signed,condition,period,movement,image_path
15,4000.0,Leonardo Drew,CPP11,2015.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,images/auction_images/15.jpg
16,5000.0,Anne Appleby,Cottonwood,2012.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,images/auction_images/16.jpg
17,8000.0,Sol LeWitt,Horizontal Bands (More or Less) Red/Green,2002.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,images/auction_images/17.jpg
18,5500.0,Jockum Nordström,House and Bugs,2008.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism,images/auction_images/18.jpg
19,2500.0,William Bailey,Stradina,2002.0,Signed lower right corner,"This work is in excellent condition, direct from the publisher.",Contemporary,Realism,images/auction_images/19.jpg
20,7000.0,Al Held,Fly Away,1992.0,Signed verso,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,images/auction_images/20.jpg
21,6000.0,Tomma Abts,Untitled (small circles),2015.0,Signed on lower right corner,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,images/auction_images/21.jpg
22,7000.0,Richard Tuttle,Trans Asian,1993.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,images/auction_images/22.jpg
23,7000.0,Matt Mullican,"REPRESENT THE WORK, Logo",2020.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/23.jpg
24,8000.0,Leonardo Drew,CPP1,2015.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,images/auction_images/24.jpg
26,10000.0,Wayne Thiebaud,Dark Canyon Bluffs,2014.0,Signed bottom right,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism,images/auction_images/26.jpg
27,10000.0,Anish Kapoor,Untitled 12,1991.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/27.jpg
28,8500.0,Charline von Heyl,Nightpack (Red Yellow Blue),2014.0,Signed bottom right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,images/auction_images/28.jpg
29,4000.0,Leonardo Drew,CPP10,2015.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,images/auction_images/29.jpg
30,2800.0,Patricia Treib,Pendulum,2018.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,images/auction_images/30.jpg
31,12000.0,Guy Pène Du Bois,Billboard,1920.0,Signed Guy Pène du Bois and dated 20 (lower left),"The following condition report has been provided by Simon Parkes Art Conservation, Inc., New York, an independent restorer who is not an employee of Sotheby's:This work is in good condition.It has developed mild thin cracks across the top edge and across the bottom edge, not unusual for plywood.The cracks have not been retouched, except in the left shoulder of the figure, and will remain stable.The paint layer is clean and lightly varnished.There are a few retouches in tiny spots around the edges, in the left elbow of the figure and in 5 small spots in the left background.Pene du Bois' original color reads quite strongly in the hat and in the diagonal green line across the lower part of the picture, but this is all original pigment. The work should be hung as is.",Modern,Realism,images/auction_images/31.jpg
32,2000.0,Jason Bereswill,Study for Saline Rocks,2008.0,[nan],Mounted to a new mat ,Contemporary,Realism,images/auction_images/32.jpg
36,15000.0,Kehinde Wiley,Sophie Arnould Study II,2016.0,"Signed in pencil, dated and numbered lower right","The work is in excellent condition, direct from the publisher.",Contemporary,Realism,images/auction_images/36.jpg
41,700.0,Linda Besse,Servel Portrait,2003.0,Signed Linda Besse;  dated ©  2003 (lower right),The work is in original condition.Under UV: There are no signs of inpainting or previous restoration. ,Contemporary,Realism,images/auction_images/41.jpg
46,3000.0,Grant Hacking,Zebras Drinking,2000.0,Signed Grant Hacking © and dated ‘00 (lower left),The canvas is unlined and there is minor frame abrasion along the extreme edges.Under UV: There are no signs of inpainting or previous restoration. ,Contemporary,Realism,images/auction_images/46.jpg
48,1200.0,Grant Hacking,Looking for Game ,2010.0,"Signed Grant Hacking (lower left); titled, dated © 2010, signed Grant Hacking (on the reverse)",The canvas is unlined and tacked to the original stretchers. Under UV: There are no signs of inpainting or previous restoration.,Contemporary,Realism,images/auction_images/48.jpg
50,1000.0,Linda Besse,In the Grass - Cheetah,2005.0,Signed Linda Besse and dated © 2005 (lower right),There is minor frame abrasion along the edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Contemporary,Realism,images/auction_images/50.jpg
52,800.0,Linda Besse,Lion Cubs,2002.0,Signed Linda Besse;  dated ©  2002 (lower left),The work is in original condition. Under UV: there are no signs of inpainting or previous restoration.,Contemporary,Realism,images/auction_images/52.jpg
53,5000.0,Grant Hacking,"Late Afternoon Shadows, Cheetah",2001.0,Signed Grant Hacking (lower left),"The canvas is unlined and tacked to the original stretchers.There is frame abrasion along the edges and there are a few scattered pindots of surface accretions within the sky.Under UV: While some pigments fluoresce, they appear to be the artist's original.",Contemporary,Realism,images/auction_images/53.jpg
57,30000.0,Michael Ghaui,Zebra on the Mwagusi Sand River ,1999.0,Signed MAGhaui ©; dated 99 (lower left),"The canvas is unlined and tacked to the original stretchers. Under UV: While some pigments read strongly, they appear to be the artist’s original.  ",Post-War,Realism,images/auction_images/57.jpg
58,6000.0,Grant Hacking,Zebras in the Hills,2000.0,Signed Grant Hacking © and dated 2000 (lower left),The canvas is unlined and there is minor frame abrasion to the extreme edges.Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Contemporary,Realism,images/auction_images/58.jpg
60,5500.0,Philip Howard Evergood,Wounders of a Frog ,1958.0,Signed Philip Evergood bottom right corner recto ,Not examined out of frame.Work is in original condition.,Post-War,Expressionism,images/auction_images/60.jpg
63,12000.0,Joseph Rusling Meeker,"Boating, Early Autumn ",1877.0,"Signed JR Meeker, (lower left)",Very good condition.Relined.,19th Century,Realism,images/auction_images/63.jpg
67,2250.0,Takashi Murakami,Jellyfish Eyes - Black 3,2004.0,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/67.jpg
68,3000.0,Takashi Murakami,"And Then... All Things Good and Bad, All Days Fine and Rough",2014.0,"Signed and numbered in ink, lower right",This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/68.jpg
69,2250.0,Takashi Murakami,Jellyfish Eyes - Black 1,2004.0,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/69.jpg
70,3000.0,Takashi Murakami,Flower Ball (Dumpling),2013.0,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/70.jpg
71,2250.0,Takashi Murakami,Jellyfish Eyes - White 1,2006.0,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/71.jpg
72,14000.0,KAWS,Man's Best Friend,2016.0,Signed and dated in pencil recto,Excellent condition ,Contemporary,Street Art,images/auction_images/72.jpg
73,70000.0,Roy Lichtenstein,Landscape Mobile (Limoges),1990.0,Signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,images/auction_images/73.jpg
75,3250.0,Edgar Nye,Going Home #24,1935.0,[nan],Wear consistent with age and use. ,Modern,Expressionism,images/auction_images/75.jpg
76,7500.0,George Pearse Ennis,Harbor Scene,1928.0,"Signed lower left ""Ennis"" and titled ""Silvery Light"" in pencil on stretcher bar. ",Wear consistent with age and use.,Modern,Impressionism,images/auction_images/76.jpg
77,2500.0,Doris McCarthy,funzionario,2021.0,[nan],Excellent condition.,Contemporary,Abstract,images/auction_images/77.jpg
78,2500.0,Doris McCarthy,rosadue,2021.0,"Signed, titled, dated and numbered recto ",Excellent condition.,Contemporary,Abstract,images/auction_images/78.jpg
80,2500.0,Doris McCarthy,giallouno,2022.0,"Signed, titled, dated and numbered recto ",Excellent condition.,Contemporary,Abstract,images/auction_images/80.jpg
82,12000.0,Cindy  Sherman,Madame de Pompadour (née Poisson),1990.0,Each signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/82.jpg
84,2500.0,Joel Otterson,Mr. and Mrs. Monster Meat Carving Set,1994.0,Signed and numbered on the base,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/84.jpg
85,900.0,César,L'Empreinte Digitale (White),1991.0,Signed and numbered by the artist,"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,images/auction_images/85.jpg
86,900.0,César,L'Empreinte Digitale (Blue),1991.0,Signed and numbered by the artist,"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,images/auction_images/86.jpg
89,800.0,Jean Tinguely,Amour Totale,1991.0,Signed and numbered on the back,"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,images/auction_images/89.jpg
96,27500.0,George Segal,Classical Still Life,1990.0,Signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,images/auction_images/96.jpg
97,7000.0,Lucas  Samaras,Platter,1996.0,Signed and numbered on the base,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism,images/auction_images/97.jpg
98,7000.0,Tom Otterness,Elijah Cup,1994.0,Signed and numbered on the bottom,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism,images/auction_images/98.jpg
99,18000.0,Tom Otterness,Seder Plate,1994.0,Signed and numbered on the back,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism,images/auction_images/99.jpg
100,5000.0,John Chamberlain,Tasted Snow,1996.0,Signed and numbered verso,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,images/auction_images/100.jpg
101,8000.0,Walter Robinson,Tumultuous Heart,2017.0,Signed certificate of authenticity,This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/101.jpg
102,10000.0,James Welling,New Abstraction No. 59 (Red Stripe),2010.0,Signed and numbered on label by the artist,This work is in excellent condition.,Contemporary,Conceptual ,images/auction_images/102.jpg
103,24000.0,Brian Calvin,Beneath the Sun,2019.0,Signed certificate of authenticity,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism,images/auction_images/103.jpg
104,8500.0,Jonathan Lasker,Untitled,2011.0,Signed and numbered on label by the artist,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,images/auction_images/104.jpg
105,18000.0,Jonas Wood,Yellow and Orange Orchid Clipping,2018.0,Signed certificate of authenticity,This work is in excellent condition.,Contemporary,Pop Art,images/auction_images/105.jpg
106,22500.0,Gustave Blache III,Natalie Scrape Cleaning,2014.0,Signed upper right,This work is in very good condition.,Contemporary,Realism,images/auction_images/106.jpg
107,42000.0,Gustave Blache III,Celia with Blade (Standing on Footstool),2016.0,Signed upper right,This work is in very good condition.,Contemporary,Realism,images/auction_images/107.jpg
108,28500.0,Gustave Blache III,Simon Test Cleaning with Bonhams,2014.0,Signed lower right,This work is in very good condition.,Contemporary,Realism,images/auction_images/108.jpg
109,8500.0,Darío Escobar,Sin Título,2016.0,"Signed, dated and numbered","The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,images/auction_images/109.jpg
110,1800.0,Ivan Albright,Follow Me,1948.0,Signed and titled in pencil in lower margin,Light spotting to print margins.Small scuffs to frame. Artwork not examined outside of frame. ,Modern,Realism,images/auction_images/110.jpg
111,6000.0,Michael Wesely,Square Meals,1996.0,"A Galerie Walter Storms postcard on the reverse of the mount, with credit, title and date engraved on the side.","Please note, the colors and shades in the online catalogue illustration may vary depending on screen settings. This Cibachrome print is in generally excellent condition. The colors remain vibrant and saturated, with no apparent fading. Visible only upon very close examination are occasional deposits of retouching. When examined closely in high raking light, some shallow scratches care visible, possibly a result of processing. There is an approximately one-inch scratch in the lower right quadrant, primarily in the margin, and each margin corner is scuffed where the print has been in contact with the frame. None of the aforementioned are immediately visible nor do they detract from the overall fine appearance of this photograph.",Contemporary,Abstract,images/auction_images/111.jpg
113,6000.0,John Fischer,Cain and Abel,1971.0,Signed front right lower corner in paint; titled and dated on the verso in ink,Very small hole at center of canvas.Moderate edge wear.,Post-War,Expressionism,images/auction_images/113.jpg
114,3000.0,John Fischer,Vive la France,1960.0,[nan],"Some areas of edges are covered with adhesive paper, missing at corners.Moderate edge wear with small gouges to canvas edges and corners.Moderate wear to wood frame.The back fitted with a hanging wire.",Post-War,Expressionism,images/auction_images/114.jpg
115,6500.0,John Fischer,Secret Source,1972.0,[nan],Unpainted stapled edges.Occasional edge wear to canvas.,Post-War,Expressionism,images/auction_images/115.jpg
116,6000.0,John Fischer,Portrait,1972.0,Signed and dated on the verso upper right corner in pen,Occasional marks and fraying to canvas edge. ,Post-War,Expressionism,images/auction_images/116.jpg
117,6000.0,John Fischer,Horizontal Extension,1990.0,[nan],"Nicks, gouges and moderate edge wear.",Post-War,Expressionism,images/auction_images/117.jpg
118,6000.0,John Fischer,Yaweh,1984.0,Signed and dated on the verso in paint,"Not examined outside of frame.Nicks, scratches and some yellowing to frame. ",Post-War,Expressionism,images/auction_images/118.jpg
121,3000.0,John Fischer,Triangle #NY.6,1972.0,Signed on the verso in paint and pen,Occasional nicks and edge wear.,Post-War,Expressionism,images/auction_images/121.jpg
122,5000.0,John Fischer,Escape,1981.0,[nan],Occasional marks and wear to edges. ,Post-War,Surrealism,images/auction_images/122.jpg
123,3000.0,John Fischer,Triangle #NY,1972.0,[nan],Occasional nicks to edges.,Post-War,Abstract,images/auction_images/123.jpg
125,6000.0,John Fischer,Horizontal Line of Lines,1990.0,[nan],"Sides are wrapped with adhesive paper. Occasional nicks, gouges and edge wear. ",Post-War,Expressionism,images/auction_images/125.jpg
132,2000.0,Henry Moore,"Les Poètes, Four Standing Figures",1973.0,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract,images/auction_images/132.jpg
133,2000.0,Henry Moore,"Les Poètes, Ideas from a Sketchbook",1976.0,Initialed bottom right,No obvious signs of damage or wear.,Post-War,Abstract,images/auction_images/133.jpg
134,2000.0,Henry Moore,"Les Poètes, Three Sculptural Forms",1973.0,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract,images/auction_images/134.jpg
135,2000.0,Henry Moore,"Les Poètes, Reclining Woman",1973.0,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract,images/auction_images/135.jpg
136,2000.0,Henry Moore,"Les Poètes, Creole Lady",1973.0,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract,images/auction_images/136.jpg
137,2000.0,Henry Moore,"Les Poètes, Two Heads",1973.0,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract,images/auction_images/137.jpg
138,3500.0,Marc Chagall,"The Angel, M.288",1960.0,[nan],No obvious signs of wear to print.,Post-War,Surrealism,images/auction_images/138.jpg
139,3000.0,Lucien Hervé,Maquette de Jean Prouvé,1950.0,"Signed, dated and titled verso",One small crease to photograph on the bottom edge.Artist retouch marks in upper right-hand corner.Cropped to size by artist.,Post-War,Realism,images/auction_images/139.jpg
140,5000.0,Edmund Darch Lewis,Morning on the Brandywine ,1896.0,Signed and dated lower left recto,Not examined out of frame.No visible loss to painting.Craquelure on surface of canvas from age.Loss to frame on lower right.Discoloration to back of canvas consistent with age.,19th Century,Realism,images/auction_images/140.jpg
141,9500.0,Robert Indiana,"Seasons of Hope, Summer",2012.0,"Signed, dated, and numbered in pencil recto",No obvious signs of damage or wear.,Contemporary,Pop Art,images/auction_images/141.jpg
142,2200.0,Charlemagne Palestine,356 CcornUuoOrphanosS two,2018.0,Signed by artist on front,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/142.jpg
144,2500.0,Math Bass,Newz!,2018.0,Signed by artist on back,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction,images/auction_images/144.jpg
146,2500.0,Dennis Hollingsworth,Oboja Negra,2006.0,Signed by artist on bottom right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,images/auction_images/146.jpg
147,15000.0,Judy Chicago,Mary Queen of Scots,1973.0,Signed by artist on the reverse,"The work is in excellent condition, direct from the publisher.",Contemporary,Feminist Art ,images/auction_images/147.jpg
148,135000.0,Vija Celmins,"Untitled (Desert), Untitled (Ocean), Untitled (Sky), Untitled (Galaxy)",1975.0,Signed by artist on bottom right,"The work is in excellent condition, direct from the publisher.",Contemporary,Photorealism,images/auction_images/148.jpg
149,15000.0,John Baldessari,Engravings with Sounds: Sniffle,2015.0,Signed by artist on front,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/149.jpg
150,50000.0,Ed  Ruscha,IF,2000.0,Signed and dated by artist on bottom right,"The work is in excellent condition, direct from the publisher. It is offered unframed.",Contemporary,Pop Art,images/auction_images/150.jpg
151,4500.0,Joe Goode,Untitled (028C),1971.0,"Signed, dated, and numbered by artist on bottom","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,images/auction_images/151.jpg
152,9500.0,Robert Indiana,"Seasons of Hope, Spring",2012.0,"Signed, dated, and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art,images/auction_images/152.jpg
154,5000.0,Sterling Ruby,Carvings 5 ,2006.0,[nan],No obvious signs of damage or wear.Not examined out of frame.,Contemporary,Abstract,images/auction_images/154.jpg
155,3000.0,Donald Sultan,"Fruit and Flowers, Yellow Roses",1992.0,"Numbered on bottom right.Titled, dated and initialed along left side.",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Expressionism,images/auction_images/155.jpg
156,3000.0,Donald Sultan,"Fruit and Flowers III, Yellow Peppers",1993.0,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Two corners of frame are misaligned.Not examined outside of frame.,Post-War,Pop Art,images/auction_images/156.jpg
158,3000.0,Donald Sultan,"Fruit and Flowers III, Acanthus",1992.0,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Minimalism,images/auction_images/158.jpg
159,5000.0,Sterling Ruby,Carvings 4 ,2006.0,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract,images/auction_images/159.jpg
160,9500.0,Robert Indiana,"Seasons of Hope, Winter",2012.0,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art,images/auction_images/160.jpg
161,9500.0,Robert Indiana,"Seasons of Hope, Autumn",2012.0,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art,images/auction_images/161.jpg
162,3000.0,Donald Sultan,"Fruit and Flowers, Calla Lillies",1992.0,"Initialed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges and where tape is adhered to top corners.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art,images/auction_images/162.jpg
163,5000.0,Sterling Ruby,Carvings 2,2006.0,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract,images/auction_images/163.jpg
164,3000.0,Donald Sultan,"Fruit and Flowers III, Five Pears, a Lemon, and an Egg",1994.0,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art,images/auction_images/164.jpg
166,3000.0,Donald Sultan,"Fruit and Flowers III, Pomegranates",1994.0,"Initialed, titled, dated and numbered in pencil recto ",Minor nicks and scratches to metal frame.Not examined out of frame.,Post-War,Pop Art,images/auction_images/166.jpg
167,5000.0,Sterling Ruby,Carvings 3 ,2006.0,[nan],No obvious signs of damage or wear.Not examined out of frame.,Contemporary,Abstract,images/auction_images/167.jpg
169,5000.0,Sterling Ruby,Carvings 1,2006.0,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract,images/auction_images/169.jpg
170,3000.0,Donald Sultan,"Fruit and Flowers III, Two Pears, a Lemon, and an Egg",1994.0,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art,images/auction_images/170.jpg
171,2000.0,Richard Bernstein,Candy Darling,1968.0,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art,images/auction_images/171.jpg
172,3000.0,Richard Bernstein,Ruby,1977.0,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art,images/auction_images/172.jpg
173,5000.0,Richard Bernstein,Iggy Pop,1970.0,Signed by artist,The work is in excellent condition.,Contemporary,Pop Art,images/auction_images/173.jpg
174,1500.0,Richard Bernstein,Mick Jagger Newspaper,1969.0,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art,images/auction_images/174.jpg
176,6000.0,Richard Bernstein,Picasso Pixels,1998.0,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art,images/auction_images/176.jpg
178,3000.0,Richard Bernstein,Diamond,1977.0,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art,images/auction_images/178.jpg
180,10000.0,Hossein Edalatkhah,Belle Watling (Pink Whores) ,2021.0,Signed and dated on the reverse,The work is in excellent condition.,Contemporary,Expressionism,images/auction_images/180.jpg
181,12500.0,Hossein Edalatkhah,Dancing Shadows,2018.0,Signed and dated bottom right,The work is in excellent condition.,Contemporary,Organic/Biomorphic Abstraction,images/auction_images/181.jpg
182,4375.0,Hossein Edalatkhah,Entitled,2020.0,Signed on the reverse,The work is in excellent condition.,Contemporary,Expressionism,images/auction_images/182.jpg
184,4375.0,Hossein Edalatkhah,Shahmaran,2020.0,Signed on the reverse,This work is in excellent condition.,Contemporary,Expressionism,images/auction_images/184.jpg
185,10000.0,Hossein Edalatkhah,Pandora’s Garden,2019.0,Signed and dated on the reverse,The work is in excellent condition.,Contemporary,Expressionism,images/auction_images/185.jpg
186,2000.0,Barbara Morgan,"Martha Graham,  Ekstasis",1935.0,"Embossed signature, title, and date in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There is a very faint handling crease visible only in high raking light at the center right. The work is offered unframed.",Modern,Performance Art,images/auction_images/186.jpg
188,2000.0,Barbara Morgan,"Martha Graham, Satyric Festival Song",1940.0,"Embossed signature, date, and annotation ‘Martha Graham’ in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There are adhesive remnants on the mount. On the reverse of the mount, the following is written in pencil in an unidentified hand: ‘Photographed by Barbara Morgan / Martha Graham, Satyric Festival Song 1940.'",Modern,Performance Art,images/auction_images/188.jpg
189,3000.0,JOHN GIBSON,Small Ball,2003.0,"Signed, dated and numbered in pencil on recto",Good overall condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Realism,images/auction_images/189.jpg
190,5000.0,Robert  Motherwell,Blue Gesture (Octavior Paz),1988.0,Signed and numbered in pencil lower right,Good overall condition.Not examined out of frame.Sheet undulation.,Post-War,Abstract Expressionism,images/auction_images/190.jpg
192,19200.0,Carl (Christian Edvard Otto) Carlsen,A Forest Walk in Autumn,1892.0,Signed and dated Carl. Carlsen./ 1892 lower right ,"The canvas is unlined. The paint surface is in good condition with thick impasto except for very fine pigment separation on the central figure's coat and on the tree trunk at right, in a small area. Under UV light, no evidence of inpainting.",19th Century,Impressionism,images/auction_images/192.jpg
193,4000.0,Eric Fischl,"Two Bathers, Black and White",2007.0,Signed E Fischl lower right verso; numbered 33/98 lower left verso,Not examined out of frame.Overall very good condition.,Contemporary,Expressionism,images/auction_images/193.jpg
194,2250.0,"Patrick Caulfield, R.A.",For John Constable,1976.0,Signed and numbered lower right,"Very good overall condition.Not examined out of frame.Frame with occasional minor marks, nicks and scratches.",Post-War,Pop Art,images/auction_images/194.jpg
195,1000.0,John Bankston,The Inventor ,2012.0,"Signed, titled and dated John Bankston The Inventory, 2012 verso; marked Acrylic on canvas verso",Overall very good condition.,Contemporary,Pop Art,images/auction_images/195.jpg
196,15000.0,Ansel Adams,"Fresh Snow, Yosemite Valley, California ",1947.0,Signed lower right recto,Water stain or smudge on mat on top left corner.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism,images/auction_images/196.jpg
197,10000.0,William Wegman,"'Letters, Numbers, Punctuation'",1993.0,"Each signed, dated, editioned '22/26,' and numbered or lettered sequentially in pencil on the reverse.",This portfolio composed of 44 gelatin silver prints is in generally excellent condition. The edges of each sheet bow upward slightly. The cloth clamshell box is very slightly soiled at the corners and edges.,Contemporary,Conceptual ,images/auction_images/197.jpg
198,3000.0,Michael Williams,Untitled (One Fourth Jew),2010.0,[nan],Overall very good condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Conceptual ,images/auction_images/198.jpg
199,28000.0,Agnieszka  Pilat,B70 Mother and Child ,2021.0,Stamped Pilat lower right verso,Overall excellent condition ,Contemporary,Abstract,images/auction_images/199.jpg
200,32000.0,Agnieszka  Pilat,B70 Multiples,2021.0,Stamped Pilat lower right verso ,Overall excellent condition,Contemporary,Abstract,images/auction_images/200.jpg
201,3000.0,Hayal Pozanti,Active Cell,2014.0,"Signed by artist and numbered, front",Very good condition,Contemporary,Geometric Abstraction,images/auction_images/201.jpg
202,8500.0,William Wegman,Enframed,1995.0,"Signed ""Thanks Nancy"" William Wegman on verso",Very good condition,Post-War,Realism,images/auction_images/202.jpg
203,15000.0,Philip Guston,Rug,1980.0,"Signed by artist and numbered, recto",Very good condition,Post-War,Social Realism,images/auction_images/203.jpg
